Question_Number,Category,Question,Answer
1,Strategy,What does The trend is your friend mean?,It means if prices are going up buy if theyre going down sell Follow the trend
2,Strategy,What is a trend in stocks?,A trend is when stock prices generally move in one directionup or down
3,Strategy,Why shouldnt I trade every day?,Most days offer no strong setup Trading less means fewer mistakes
4,Strategy,How do I spot a good trading setup?,Look for a price breaking key levels with strong volume and trend confirmation
5,Strategy,Whats a pivot point?,A pivot point is a key level where price has previously reversed
6,Strategy,What is a normal reaction?,Its a small dip after a breakout before continuing the trend
7,Strategy,How does Livermore use volume to confirm trades?,Strong volume on breakouts and low volume on pullbacks confirms direction
8,Strategy,What does cut your losses quickly mean?,Exit fast if a trade goes against you Dont wait and hope
9,Strategy,What does let your profits run mean?,Stay in winning trades longer Dont exit too early
10,Strategy,What is pyramiding?,Add to trades only when they move in your favor
11,Strategy,Why should you not average into losing trades?,Adding to losers increases riskcut them instead
12,Strategy,Why trade only leading stocks?,Leaders move first and have stronger trends
13,Strategy,Why keep some cash aside a reserve?,Cash gives flexibility to wait and react with confidence
14,Strategy,Why not rely on tips or rumors?,Tips are unreliable Trust price action instead
15,Strategy,What does guard against self mean?,Control your emotionsfear and greed hurt your trades
16,Strategy,What is good position sizing?,Only risk a small portion of your money per trade
17,Strategy,What does risking 10 per trade mean?,Dont lose more than 10 of capital on one trade
18,Strategy,What is a probe trade?,Start with a small test trade to check the setup
19,Strategy,Why did Livermore keep a trading diary?,To analyze what went wrong or right for future learning
20,Strategy,What does emotional control look like?,It means sticking to your plan and not reacting emotionally
21,Strategy,How did he know when to enter a long trade?,After confirmation of breakout in trend direction
22,Strategy,How did Livermore exit long trades?,Exit if price breaks support or loses momentum
23,Strategy,How did he enter a short trade?,Short on a confirmed downtrend with high volume
24,Strategy,What would make him close a short trade?,Exit if price breaks above key level or loses momentum
25,Strategy,What is the pattern impulsereactionimpulse?,Its a strong move a dip then another strong move
26,Strategy,Why did he need breakout volume?,Heavy volume shows real trader interest in a move
27,Strategy,How many times did Livermore trade per year?,Only a few good setups a year make most profits
28,Strategy,What if the market is flat?,No clear direction? Stay out of the market
29,Strategy,Why did he avoid small cheap stocks?,Theyre riskier and dont move predictably
30,Strategy,Whats Livermores 10 rule?,Never risk more than 10 of your trading capital
31,Strategy,Why put half your profits in the bank?,Secure some profit so you dont give it all back
32,Strategy,Why concentrate on one idea?,Focus brings better trades than spreading risk thin
33,Strategy,Why not get greedy after one win?,Greed leads to mistakes Stick to your rules
34,Strategy,Whats a safe stoploss?,Place it below support so you exit early if wrong
35,Strategy,Return after losseswhat did he do?,Stop and reset Dont trade emotionally
36,Strategy,Why say never trade without a reason?,Base trades on setups not gut feelings
37,Strategy,Whats the meaning of markets are never wrongopinions are?,If price goes against you your view may be wrong
38,Strategy,Why did he avoid following the crowd?,The crowd is often wrong Trust your analysis
39,Strategy,How did he know when trends were ending?,Failed highslows or weak volume hint trend is ending
40,Strategy,How did he maintain discipline over time?,Use rules journals and review habits to stay focused
41,Strategy,Why did he reflect on mistakes?,So he could learn from them and improve
42,Strategy,What is confirmation bias in trading?,Its thinking youre right even when the chart says otherwise
43,Strategy,How did he fight that bias?,Exit fast if price disagrees with your setup
44,Strategy,My trade moved against mewhat then?,Cut the loss Livermore exited fast to protect capital
